Cluster,Lat,Long,Count,Pincode
1,18.66670069,73.72020947,18,654321
19,23.10436499,72.47203078,13,382722
8,12.87610117,77.77247583,11,562125
10,13.05819739,77.74939269,11,560049
6,12.85261083,80.24155906,10,600130
7,18.6172274,73.68986874,9,412101
2,17.28995536,78.23991861,8,509359
13,21.16065902,72.6520159,8,394270
0,13.14172967,77.67640843,7,562149
4,18.99172292,73.11780839,7,410206
9,18.62341432,73.91806287,6,411018
17,12.80907191,77.67897549,6,560099
12,13.12639062,77.56733144,6,560064
5,18.76124563,73.64730692,5,412106
3,22.93254783,72.41723553,5,382210
14,13.10984235,80.09377255,5,600054
11,12.91661884,80.08267083,5,600045
16,13.17708906,77.56056978,5,560064
15,13.18957032,77.63304818,5,562157
18,30.64218093,76.87290548,5,134116
20,17.54989567,78.37029727,5,382722
21,22.60051974,88.53582314,5,700135
22,18.40774071,73.9343512,5,411041
